"tweets.id" "tweets.created" "tweets.text"
"38" "801577275409989632" 1479945889 "RT @ESPNCFB: These @OhioStateFB and @UMichFootball fans around the world don't let distance get in way of their fandom. https://t.co/J7bD02‚Ä¶"
"39" "801576902049853440" 1479945800 "RT @ESPNCFB: These @OhioStateFB and @UMichFootball fans around the world don't let distance get in way of their fandom. https://t.co/J7bD02‚Ä¶"
"40" "801576346023555074" 1479945668 "RT @ESPNCFB: These @OhioStateFB and @UMichFootball fans around the world don't let distance get in way of their fandom. https://t.co/J7bD02‚Ä¶"
"41" "801576302230781953" 1479945657 "RT @ESPNCFB: These @OhioStateFB and @UMichFootball fans around the world don't let distance get in way of their fandom. https://t.co/J7bD02‚Ä¶"
"42" "801576139781193730" 1479945618 "RT @ESPNCFB: These @OhioStateFB and @UMichFootball fans around the world don't let distance get in way of their fandom. https://t.co/J7bD02‚Ä¶"
"43" "801576068964454400" 1479945602 "These @OhioStateFB and @UMichFootball fans around the world don't let distance get in way of their fandom. https://t.co/J7bD02BbQu"
"44" "801575598401273856" 1479945489 "RT @CFBPlayoff: The #CFBPlayoff National Championship Trophy is headed to Colombus for @UMichFootball vs. @OhioStateFB. https://t.co/xmJthB‚Ä¶"
"45" "801569118407323648" 1479943944 "@robertpatrickT2 @UMichFootball @RichEisenShow @OhioStateFB @EddieGeorge2727 @richeisen as much as I love Scorpion,  GO BUCKS!"
"46" "801568222122299393" 1479943731 "RT @toledosports: #MondayMemories: A look back at The Game between @OhioStateFB and @UMichFootball on Nov. 19, 1955. https://t.co/2wOFfu3xc‚Ä¶"
"47" "801566163943772164" 1479943240 "RT @CFBPlayoff: The #CFBPlayoff National Championship Trophy is headed to Colombus for @UMichFootball vs. @OhioStateFB. https://t.co/xmJthB‚Ä¶"
"48" "801562427787657216" 1479942349 "Remember the @UMichFootball and @OhioStateFB game from 2006? Relive #TheGame with this #CollegeFootball action: https://t.co/Qr9TroiCaN"
"49" "801562260812529664" 1479942309 "RT @CFBPlayoff: The #CFBPlayoff National Championship Trophy is headed to Colombus for @UMichFootball vs. @OhioStateFB. https://t.co/xmJthB‚Ä¶"
"50" "801561361490710528" 1479942095 "Relive #TheGame with past videos from @UMichFootball and @OhioStateFB. Check out #CollegeFootball action from 2013: https://t.co/rNDG72YcVx"
"51" "801555020953120768" 1479940583 "RT @BradyDisher: YALL WHERE ARE HIS OFFERS SO THIS KID SOME LOVE @AlabamaFTBL @OhioStateFB @UMichFootball @ClemsonFB Ì†ΩÌ±åÌ†ºÌøºÌ†ΩÌ≤ØÌ†ΩÌ≤Ø https://t.co/2FkU‚Ä¶"
"52" "801554680514039809" 1479940502 "YALL WHERE ARE HIS OFFERS SO THIS KID SOME LOVE @AlabamaFTBL @OhioStateFB @UMichFootball @ClemsonFB Ì†ΩÌ±åÌ†ºÌøºÌ†ΩÌ≤ØÌ†ΩÌ≤Ø https://t.co/2FkUHPDxuY"
"53" "801552533512736769" 1479939990 "RT @CFBPlayoff: The #CFBPlayoff National Championship Trophy is headed to Colombus for @UMichFootball vs. @OhioStateFB. https://t.co/xmJthB‚Ä¶"
"54" "801541501834711049" 1479937360 "RT @CFBPlayoff: The #CFBPlayoff National Championship Trophy is headed to Colombus for @UMichFootball vs. @OhioStateFB. https://t.co/xmJthB‚Ä¶"
"55" "801541231557955584" 1479937296 "RT @CFBPlayoff: The #CFBPlayoff National Championship Trophy is headed to Colombus for @UMichFootball vs. @OhioStateFB. https://t.co/xmJthB‚Ä¶"
"56" "801540982927949824" 1479937236 "RT @CFBPlayoff: The #CFBPlayoff National Championship Trophy is headed to Colombus for @UMichFootball vs. @OhioStateFB. https://t.co/xmJthB‚Ä¶"
"57" "801531602920673280" 1479935000 "@KirkHerbstreit Herbie, would you be in favor of @OhioStateFB and @UMichFootball each wearing their home jerseys, like USC and UCLA?"
"58" "801528929123115008" 1479934363 "Where else would we have lunch on Day before @UMichFootball v @OhioStateFB game @AZDetConeygrill #GoBlue https://t.co/vopHaPKZcO"
"59" "801528214732623880" 1479934192 "RT @CFBPlayoff: The #CFBPlayoff National Championship Trophy is headed to Colombus for @UMichFootball vs. @OhioStateFB. https://t.co/xmJthB‚Ä¶"
"60" "801526240716828672" 1479933722 "RT @CFBPlayoff: The #CFBPlayoff National Championship Trophy is headed to Colombus for @UMichFootball vs. @OhioStateFB. https://t.co/xmJthB‚Ä¶"
"61" "801523819634626560" 1479933144 "RT @rosebowlgame: The Game is the #RoseBowl @B1Gfootball Game of the Week. @UMichFootball and @OhioStateFB in Columbus. Who ya got? https:/‚Ä¶"
"62" "801523765557469184" 1479933131 "RT @rosebowlgame: The Game is the #RoseBowl @B1Gfootball Game of the Week. @UMichFootball and @OhioStateFB in Columbus. Who ya got? https:/‚Ä¶"
"63" "801523225775706112" 1479933003 "The Game is the #RoseBowl @B1Gfootball Game of the Week. @UMichFootball and @OhioStateFB in Columbus. Who ya got? https://t.co/LwSblT0R85"
"64" "801522579831975940" 1479932849 "RT @CFBPlayoff: The #CFBPlayoff National Championship Trophy is headed to Colombus for @UMichFootball vs. @OhioStateFB. https://t.co/xmJthB‚Ä¶"
"65" "801518367979012098" 1479931845 "@CFBPlayoff @UMichFootball @OhioStateFB @drpepper @espn just leave it here in C-bus where it belongs bc we are gonna win it"
"66" "801518257517760512" 1479931818 "@WolverineDaily @UMichFootball @OhioStateFB Michigan sucks. Go bucks"
"67" "801517757099606023" 1479931699 "RT @CFBPlayoff: The #CFBPlayoff National Championship Trophy is headed to Colombus for @UMichFootball vs. @OhioStateFB. https://t.co/xmJthB‚Ä¶"
"68" "801517145276481549" 1479931553 "RT @CFBPlayoff: The #CFBPlayoff National Championship Trophy is headed to Colombus for @UMichFootball vs. @OhioStateFB. https://t.co/xmJthB‚Ä¶"
"69" "801516205681086464" 1479931329 "RT @detroitnews: .@espn ramps up @UMichFootball - @OhioStateFB coverage https://t.co/WyQYxE03r3 https://t.co/Sjj3NEKLGk"
"70" "801515871902564352" 1479931249 "The @bigten/@B1Gfootball's derby  on the gridiron: 
@UMichFootball v @OhioStateFB 
#MICHvsOSU forthcoming at 1200/12.00noon Sa26.11 #TheGame"
"71" "801515823563239424" 1479931238 "RT @detroitnews: .@espn ramps up @UMichFootball - @OhioStateFB coverage https://t.co/WyQYxE03r3 https://t.co/Sjj3NEKLGk"
"72" "801515667799187457" 1479931201 ".@espn ramps up @UMichFootball - @OhioStateFB coverage https://t.co/WyQYxE03r3 https://t.co/Sjj3NEKLGk"
"73" "801515258372177920" 1479931103 "RT @CFBPlayoff: The #CFBPlayoff National Championship Trophy is headed to Colombus for @UMichFootball vs. @OhioStateFB. https://t.co/xmJthB‚Ä¶"
